_recordId,Name,Buildings_Stakeholder_Roles,Website,Drawings,GND-Identifier
rec5XiMNENmHI80bk,Bosch.Capdeferro,reco69Qf0RO2pPgUH,https://www.boschcapdeferro.com/en,rec2YHpeLDeQ4rZFs,
rec6rUtgwYlm5THmP,f2a architecture,recfp51375qn8proi,https://www.f2a.ca/,,
recA1ToRa23pBLQtz,Blazquez Guanter SLP,recdlvZtMCwlYbOpj,,,
recATyZy2Z0UWfxjC,Fast + Epp,"recR9yLi1QC6grXGH,recKOea6lke2BemFu",https://www.fastepp.com/,"recyx02UbDMCUdooV,recIGwjlrHyh2jegE,recDIFng3BWwjPpxG",
recGpeqzgVbtTzokm,Egoin,rectt9G6bCyvsqgwJ,https://egoin.com/,recq8eqmevQoBwvn0,
recHScubs4nXkxniq,Obayashi Corporation.,recMyaoL2mMXihJ0q,https://www.obayashi.co.jp/en/,"recDAhBQ6crACOS3S,recNNeCbPratnVnL2",
recP016WNlEOfBpHH,Lever Architecture,reckLwHrjgRAacMdV,https://leverarchitecture.com/,recKkYuM0HajCzq2o,
recPWecr5z9JAKng3,Procasa SL,recLv4VYtK7qS4VBS,,,
recShc8d0snOX118b,Urban One Builders,recTcB7BaFJEOKPwz,,,
recWqERHB0JzoVcCp,"Shelter Co., Ltd.",reci6W0ZSA8fUcK5I,https://en.shelter.inc/,,
recgzuCEvoeEA1a0c,Acton Ostry Architects,recqqg9hRlNLclOoE,https://www.actonostry.ca/,,
reciciZ50UTIEB5ad,Hermann Kaufmann + Partner ZT GmbH,recBBbD616ywCzwdK,https://www.hkarchitekten.at/de/,,16183061-4
recqboDHmgKo8g9T0,Structurlam,recNatjTdXbWGm9oP,,,
recuA1GEEnSQLLh60,University of British Columbia,recNKGOc4ABliCyyq,,,
reczdErIqN8rznL2R,Seagate Structures,recCg9b03qyTwprUE,,,